Depth,Ammonia Nitrogen (mg/L),Dissolved Oxygen (%saturation),Faecal Coliforms (cfu/100mL),Nitrate Nitrogen (mg/L),Nitrite Nitrogen (mg/L),Orthophosphate Phosphorus (mg/L),Temperature (°C),Suspended Solids (mg/L),Total Nitrogen (mg/L),Total Phosphorus (mg/L),Unionised Ammonia (mg/L),Volatile Suspended Solids (mg/L),Total Inorganic Nitrogen (mg/L),Total Kjeldahl Nitrogen (mg/L),Chlorophyll-a (μg/L),Dissolved Oxygen (mg/L),pH
Bottom Water,0.091,85,810,0.15,0.016,0.032,19.7,3.4,1.04,0.09,0.003,<0.5,0.26,0.87,0.4,6.4,8.0
Surface Water,0.077,76,230,0.036,0.008,0.014,19.3,3.4,0.89,0.04,0.003,0.9,0.12,0.85,1.9,5.8,8.1
Middle Water,0.08,90,230,0.036,0.008,0.014,19.5,3.2,0.33,0.04,0.003,0.8,0.12,0.29,1.7,6.8,8.1
Bottom Water,0.08,91,260,0.037,0.007,0.016,19.5,4.5,0.39,0.04,0.003,1,0.12,0.35,1.7,6.9,8.1
Surface Water,0.1,86,710,0.074,0.006,0.014,22.2,12,1.18,0.03,0.002,1.7,0.18,1.1,0.7,6.2,7.7
Middle Water,0.1,70,690,0.062,0.007,0.011,22.2,11,0.72,0.03,0.002,1.5,0.17,0.65,<0.2,5.0,7.7
Bottom Water,0.097,85,510,0.064,0.008,0.013,22.2,10,0.39,<0.02,0.002,1.7,0.17,0.32,0.4,6.1,7.7
Surface Water,0.2,92,2000,0.14,0.019,0.017,25.0,11,0.48,0.04,0.005,2.9,0.36,0.32,7.7,6.3,7.8
Middle Water,0.14,77,1100,0.11,0.013,0.01,24.6,12,0.68,0.04,0.003,2.2,0.26,0.56,3.6,5.3,7.8
Bottom Water,0.12,78,390,0.078,0.009,0.014,23.4,8.2,0.68,0.04,0.003,1.4,0.21,0.59,3,5.4,7.8
Surface Water,0.13,65,3900,0.32,0.072,0.003,25.8,7.9,0.63,0.04,0.003,1.6,0.52,0.24,<0.2,4.5,7.7
Middle Water,0.097,63,5600,0.27,0.069,0.009,25.3,7.2,1.1,0.03,0.002,1.3,0.44,0.76,<0.2,4.4,7.7
Bottom Water,0.08,57,1600,0.19,0.055,0.01,23.8,11,0.94,0.03,0.002,2,0.33,0.69,<0.2,4.0,7.8
