Depth,Ammonia Nitrogen (mg/L),Dissolved Oxygen (%saturation),Faecal Coliforms (cfu/100mL),Nitrate Nitrogen (mg/L),Nitrite Nitrogen (mg/L),Orthophosphate Phosphorus (mg/L),Temperature (°C),Suspended Solids (mg/L),Total Nitrogen (mg/L),Total Phosphorus (mg/L),Unionised Ammonia (mg/L),Volatile Suspended Solids (mg/L),Total Inorganic Nitrogen (mg/L),Total Kjeldahl Nitrogen (mg/L),Chlorophyll-a (μg/L),Dissolved Oxygen (mg/L),pH
Bottom Water,0.054,144,1900,0.11,0.013,0.007,26.9,4,1.06,0.09,0.005,1,0.18,0.94,7,9.7,8.3
Surface Water,0.13,46,9000,0.074,0.017,0.011,27.0,4.3,0.39,0.07,0.006,1.6,0.22,0.3,0.5,3.0,7.9
Bottom Water,0.14,60,17000,0.082,0.017,0.014,27.0,6.8,0.41,0.07,0.007,2,0.24,0.31,0.5,4.0,8.0
Surface Water,0.063,113,790,0.21,0.038,<0.002,28.6,6,0.73,0.08,0.003,2.1,0.31,0.48,26,7.4,8.0
Bottom Water,0.08,145,1200,0.2,0.037,<0.002,28.4,4,0.87,0.08,0.003,1.3,0.32,0.63,24,9.6,7.9
Surface Water,0.054,114,1900,0.089,0.029,0.018,23.8,4.4,0.25,0.09,0.002,<0.5,0.17,0.13,0.8,8.9,7.8
Bottom Water,0.053,141,50,0.09,0.028,0.016,24.2,4.4,0.27,0.11,0.001,<0.5,0.17,0.15,1.6,9.8,7.8
Surface Water,1.1,98,9400,2,0.44,0.59,20.9,2.6,3.64,0.66,0.026,1.2,3.54,1.2,2,7.5,7.8
Middle Water,0.26,71,460,0.22,0.04,0.054,20.2,3,1.36,0.11,0.01,1.2,0.52,1.1,2.6,5.4,8.1
Bottom Water,0.2,69,290,0.12,0.028,0.014,19.9,2.8,0.67,0.05,0.008,1,0.35,0.52,1.1,5.2,8.1
Surface Water,0.53,96,210000,0.47,0.18,0.12,26.7,7.4,1.65,0.18,0.007,2.2,1.18,1,0.5,7.2,7.3
Middle Water,0.21,55,15000,0.17,0.089,0.03,26.2,2.6,1.18,0.08,0.003,1.5,0.47,0.92,0.9,3.8,7.5
Bottom Water,0.51,53,110000,0.45,0.18,0.12,25.9,6.3,1.27,0.17,0.01,1.8,1.14,0.64,2.5,3.6,7.6
Surface Water,1.4,45,350000,1.4,0.46,0.53,29.2,1.9,3.76,0.62,0.029,0.9,3.26,1.9,9.4,3.1,7.5
Middle Water,1.8,52,360000,1.7,0.64,0.65,29.0,<0.5,5.04,0.8,0.057,<0.5,4.14,2.7,8.3,3.4,7.7
Bottom Water,0.81,52,180000,0.77,0.19,0.33,29.0,1.3,2.06,0.37,0.028,0.6,1.77,1.1,5,3.3,7.8
Surface Water,1.8,34,300000,1.9,0.6,0.57,26.8,6.4,5.5,0.67,0.01,2.5,4.3,3,2.9,2.4,6.6
Middle Water,1.1,34,150000,1.2,0.34,0.36,26.9,14,3.04,0.43,0.006,3.8,2.64,1.5,3.5,2.4,6.6
Bottom Water,0.86,31,69000,0.92,0.25,0.31,27.1,11,2.47,0.35,0.005,2.6,2.03,1.3,3.2,2.2,6.6
Surface Water,2,90,9800,1.5,0.64,0.51,25.1,1.6,4.94,0.65,0.024,1.6,4.14,2.8,21,6.7,7.3
Middle Water,1.1,70,5600,0.96,0.32,0.3,24.1,2.5,2.78,0.37,0.022,1.1,2.38,1.5,9.4,4.9,7.7
Bottom Water,0.81,70,6300,0.66,0.18,0.2,23.8,2.6,2.04,0.28,0.016,1.6,1.65,1.2,6.9,4.9,7.7
Surface Water,1.4,82,71000,1.3,0.48,0.52,21.3,9.2,3.78,0.62,0.015,1.8,3.18,2,6.5,6.2,7.5
Middle Water,0.72,60,27000,0.67,0.19,0.28,21.2,7.8,2.06,0.34,0.011,1.3,1.58,1.2,4.2,4.4,7.6
Bottom Water,1.7,60,49000,1.5,0.51,0.61,21.1,7.2,4.61,0.74,0.026,1.6,3.71,2.6,7.1,4.5,7.7
Surface Water,0.82,55,23000,1.8,0.39,0.95,22.2,6.2,3.49,0.96,0.006,1.7,3.01,1.3,6.6,4.2,7.3
Middle Water,0.45,55,7200,0.86,0.18,0.48,22.0,11,1.86,0.5,0.008,2.2,1.49,0.82,6.4,4.0,7.7
Bottom Water,0.4,59,4900,0.73,0.15,0.42,22.0,11,1.88,0.45,0.007,2.2,1.28,1,4,4.3,7.7
Surface Water,1.1,92,62000,1.5,0.47,0.17,24.5,2.2,3.47,0.28,0.005,1.6,3.07,1.5,5.2,6.7,7.0
Middle Water,0.46,51,14000,0.52,0.16,0.043,25.9,3.1,1.32,0.14,0.003,1.5,1.14,0.64,7.1,3.5,7.1
Bottom Water,0.53,57,26000,0.67,0.19,0.077,25.6,3.2,1.58,0.15,0.004,1.6,1.39,0.72,5.1,3.8,7.2
Surface Water,2,62,19000,1.4,0.67,0.22,19.3,1.4,4.97,0.29,0.006,<0.5,4.07,2.9,1.8,4.8,6.7
Middle Water,1.5,64,9000,1.1,0.5,0.15,19.0,0.8,3.4,0.21,0.004,0.5,3.1,1.8,1.6,4.9,6.8
Bottom Water,0.92,71,13000,0.63,0.29,0.1,18.8,2.8,2.22,0.14,0.003,0.8,1.84,1.3,1.2,5.4,6.9
Surface Water,1.9,112,52000,0.73,0.99,0.52,22.9,1.4,3.72,0.6,0.04,0.8,3.62,2,2.9,8.3,7.7
Middle Water,0.9,41,20000,0.26,0.39,0.24,22.3,1.8,1.62,0.27,0.039,0.7,1.55,0.97,0.5,3.0,8.1
Bottom Water,0.54,78,4800,0.14,0.2,0.14,22.2,1.9,0.92,0.17,0.027,0.7,0.88,0.58,0.6,5.6,8.1
Surface Water,3.8,24,1200000,1.8,1.5,0.44,25.3,5.3,8.1,0.55,0.087,2.4,7.1,4.8,9.7,1.7,7.7
Middle Water,2.4,31,640000,1,1.1,0.31,25.0,8.4,5.4,0.37,0.085,3.2,4.5,3.3,5.6,2.1,7.9
Bottom Water,1.1,69,290000,0.53,0.36,0.14,24.9,7.7,2.19,0.18,0.044,3.3,1.99,1.3,2.2,4.7,8.0
Surface Water,2.7,93,15000,1.5,1,0.21,30.0,7.8,6.6,0.35,0.083,5.2,5.2,4.1,40,6.3,7.6
Middle Water,1.8,102,9400,0.71,0.27,0.095,28.9,4.2,2.88,0.14,0.052,2.5,2.78,1.9,19,6.9,7.7
Bottom Water,0.92,94,7000,0.7,0.28,0.098,28.0,5.4,2.28,0.16,0.024,2.8,1.9,1.3,17,6.4,7.7
Surface Water,0.88,47,6100,3.7,0.68,0.52,28.7,1.2,5.68,0.74,0.014,0.9,5.26,1.3,4.6,3.1,7.4
Middle Water,0.47,57,2700,1.9,0.35,0.29,28.3,2.4,2.98,0.46,0.009,0.7,2.72,0.73,5.2,3.7,7.6
Bottom Water,0.33,71,1300,1.3,0.24,0.19,28.2,2.2,2.07,0.33,0.006,<0.5,1.87,0.53,3.9,4.6,7.5
Surface Water,1.4,29,900000,3.2,0.79,0.43,24.4,1.3,5.99,0.47,0.009,<0.5,5.39,2,0.6,2.2,7.2
Middle Water,0.39,54,350000,0.77,0.19,0.12,24.0,3.1,1.52,0.19,0.006,1,1.35,0.56,0.7,3.8,7.5
Bottom Water,0.38,83,580000,0.86,0.19,0.11,23.7,2.4,1.64,0.2,0.005,0.9,1.43,0.59,0.6,5.8,7.5
Surface Water,0.47,77,2300,0.7,0.28,0.29,17.5,1.9,1.93,0.35,0.005,1.2,1.45,0.95,6,6.1,7.6
Middle Water,0.24,93,820,0.7,0.14,0.13,17.9,2.8,1.67,0.21,0.003,1.8,1.08,0.83,7.2,7.3,7.7
Bottom Water,0.24,93,840,0.66,0.13,0.13,17.6,4.4,1.73,0.2,0.003,1.8,1.03,0.94,5.8,7.3,7.7
Surface Water,2.3,77,11000,2,0.87,0.64,20.9,2.4,5.67,0.83,0.031,1.8,5.17,2.8,11,5.7,7.6
Middle Water,1.3,84,5600,1.2,0.5,0.39,20.8,4.6,3.2,0.51,0.017,1.9,3.0,1.5,9.5,6.2,7.6
Bottom Water,0.87,100,4000,0.84,0.34,0.27,20.6,2.4,2.18,0.38,0.012,0.8,2.05,1,8,7.4,7.6
Surface Water,0.64,112,550,2.4,0.48,0.72,28.2,2.5,4.28,0.81,0.046,1.5,3.52,1.4,10,8.1,8.0
Middle Water,0.3,133,800,1.1,0.22,0.3,27.2,4,2.26,0.41,0.024,1.2,1.62,0.94,10,9.1,8.2
Bottom Water,0.33,155,450,1.1,0.22,0.3,26.5,4.2,2.32,0.46,0.016,1.4,1.65,1,12,10.5,8.0
Surface Water,1.1,28,53000,1.7,0.49,0.2,27.3,4,3.69,0.34,0.023,2,3.29,1.5,0.9,2.0,7.6
Middle Water,0.64,38,26000,0.94,0.29,0.19,26.7,4,2.23,0.23,0.022,1.8,1.87,1,0.9,2.6,7.8
Bottom Water,0.52,59,28000,0.78,0.21,0.14,26.7,6.5,1.83,0.19,0.022,2.1,1.51,0.84,1,3.9,7.9
Surface Water,0.59,94,6800,0.33,0.16,0.078,28.8,5.6,1.69,0.26,0.022,2.3,1.08,1.2,23,6.4,7.8
Middle Water,0.17,105,360,0.2,0.058,0.026,28.1,6.2,0.8,0.12,0.005,2,0.43,0.54,17,7.0,7.7
Bottom Water,0.28,122,160,0.12,0.034,0.039,27.5,10,1.01,0.14,0.005,2.2,0.43,0.86,8.1,8.1,7.5
Surface Water,0.2,112,120,0.68,0.13,0.18,24.5,3,1.31,0.36,0.006,1.4,1.01,0.5,17,8.0,7.8
Middle Water,0.12,131,3100,0.31,0.063,0.068,24.9,3.8,0.7,0.22,0.003,1.3,0.49,0.33,22,9.1,7.8
Bottom Water,0.15,152,2400,0.15,0.038,0.043,24.6,3.2,0.47,0.18,0.003,0.8,0.34,0.28,8.8,10.6,7.7
Surface Water,0.28,97,1300,0.2,0.018,0.013,20.2,6.5,0.87,0.05,0.011,1,0.5,0.65,1,7.3,8.1
Bottom Water,0.27,76,940,0.2,0.018,0.023,20.2,6.4,0.78,0.03,0.011,1.2,0.49,0.56,0.4,5.7,8.1
Surface Water,0.093,76,22000,0.35,0.083,0.019,26.4,4.7,0.68,0.05,0.002,1.6,0.53,0.25,0.8,5.4,7.6
Bottom Water,0.096,60,11000,0.3,0.1,0.013,26.4,3.7,0.93,0.05,0.002,1,0.5,0.53,<0.2,4.1,7.6
Surface Water,0.11,70,2900,0.35,0.1,0.031,29.2,3.6,0.86,0.08,0.004,0.8,0.56,0.41,1.3,4.6,7.8
Bottom Water,0.097,73,2700,0.34,0.11,0.032,29.2,3.1,0.76,0.08,0.003,<0.5,0.55,0.31,0.7,4.8,7.8
Surface Water,0.12,72,850,0.067,0.012,0.021,27.9,21,0.34,0.07,0.006,4.2,0.2,0.26,1.6,4.7,8.0
Bottom Water,0.11,75,1100,0.067,0.013,0.019,28.0,20,0.43,0.06,0.005,4.1,0.19,0.35,1.7,4.9,8.0
Surface Water,0.22,85,2300,0.2,0.033,0.024,24.2,5.6,0.61,0.07,0.006,1.1,0.45,0.38,0.7,6.0,7.8
Bottom Water,0.24,77,3500,0.2,0.034,0.024,24.2,5.9,0.77,0.07,0.007,1.4,0.47,0.54,0.8,5.4,7.8
Surface Water,0.16,66,110,0.069,0.005,0.016,22.3,9.6,0.7,0.03,0.003,1.5,0.23,0.63,1.7,4.7,7.8
Bottom Water,0.17,62,160,0.067,0.005,0.012,22.3,9.5,0.82,0.05,0.004,1.4,0.24,0.75,1.3,4.5,7.8
Surface Water,0.18,92,2300,0.11,0.029,0.024,24.3,3.2,1.54,0.13,0.002,0.9,0.32,1.4,2.4,6.4,7.4
Bottom Water,0.19,66,2000,0.11,0.03,0.014,24.3,4.7,0.57,0.05,0.002,0.7,0.33,0.43,2.3,4.6,7.4
Surface Water,0.2,66,1500,0.17,0.032,0.022,19.4,4,1.06,0.05,0.002,1.1,0.4,0.86,1,5.0,7.5
Bottom Water,0.2,70,1600,0.17,0.034,0.023,19.4,3.6,0.69,0.05,0.002,0.5,0.4,0.49,0.9,5.3,7.5
Surface Water,0.13,69,1400,0.26,0.011,0.015,25.4,9.8,1.27,0.04,0.007,1.7,0.4,1,0.4,4.8,8.1
Bottom Water,0.14,66,2200,0.26,0.011,<0.002,25.4,11,0.66,0.04,0.008,3.2,0.41,0.39,0.5,4.6,8.1
Surface Water,0.053,90,22000,0.51,0.032,<0.002,28.2,10,0.73,0.04,0.003,2.2,0.6,0.19,8.5,6.2,7.9
Bottom Water,0.058,75,36000,0.51,0.031,<0.002,27.9,14,0.81,0.04,0.003,2.7,0.6,0.27,8.9,5.1,7.9
Surface Water,0.13,82,5900,0.36,0.041,0.026,26.7,1.5,0.6,0.05,0.002,0.8,0.53,0.2,4.3,5.6,7.6
Bottom Water,0.091,56,3900,0.34,0.04,0.027,26.6,6.8,0.51,0.05,0.002,1.9,0.47,0.13,2.9,3.9,7.6
Surface Water,0.097,56,1100,0.15,0.045,0.016,28.5,12,0.45,0.09,0.001,2,0.29,0.25,5.1,3.7,7.3
Bottom Water,0.1,62,1600,0.15,0.045,0.017,28.4,30,0.78,0.11,0.001,3.2,0.3,0.58,6.6,4.0,7.3
Surface Water,0.088,65,1800,0.085,0.021,0.023,24.1,4.8,0.85,0.09,<0.001,1.3,0.19,0.74,0.7,4.5,7.2
Bottom Water,0.092,79,3000,0.08,0.022,0.022,24.1,6.9,0.55,0.08,<0.001,1.1,0.19,0.45,1,5.5,7.2
Surface Water,0.14,82,520,0.23,0.022,0.014,17.6,3,1.24,0.06,<0.001,1,0.39,0.99,2.6,6.5,7.3
Bottom Water,0.15,75,760,0.23,0.021,0.017,17.6,4.6,1.09,0.07,<0.001,1.4,0.4,0.84,2.5,5.9,7.3
Surface Water,0.17,90,340,0.15,0.01,0.015,20.9,8.8,0.62,0.07,<0.001,2.3,0.33,0.46,3.5,6.7,7.2
Bottom Water,0.17,86,280,0.15,0.011,0.014,20.7,6.2,0.6,0.07,<0.001,2.2,0.33,0.44,3.6,6.4,7.2
Surface Water,0.032,108,120,0.22,0.017,<0.002,28.5,3.8,0.74,0.04,0.005,1,0.27,0.5,6.6,7.2,8.5
Bottom Water,0.011,144,220,0.17,0.015,0.003,27.6,6.8,0.78,0.06,0.001,1.2,0.2,0.59,11,9.6,8.4
Surface Water,0.16,53,8300,0.17,0.035,0.014,26.0,6.8,0.51,0.1,0.006,1.7,0.37,0.3,1.4,3.6,7.9
Bottom Water,0.15,57,7900,0.17,0.034,0.015,26.0,9.8,0.56,0.07,0.005,2.2,0.35,0.36,0.9,3.9,7.9
Surface Water,0.04,114,2200,0.42,0.048,<0.002,29.7,6.3,0.79,0.06,0.003,1.7,0.51,0.32,16,7.5,8.1
Bottom Water,0.092,146,3700,0.26,0.05,0.007,28.8,12,0.71,0.07,0.005,2.1,0.4,0.4,7,9.8,7.9
Surface Water,0.16,113,2400,0.099,0.038,0.023,24.7,12,0.39,0.1,0.004,1,0.3,0.25,1,7.9,7.8
Bottom Water,0.14,142,1300,0.099,0.037,0.019,24.4,12,0.39,0.12,0.004,0.5,0.28,0.25,0.7,9.8,7.8
