Depth,5-day Biochemical Oxygen Demand (mg/L),Ammonia Nitrogen (mg/L),Chlorophyll-a (μg/L),Dissolved Oxygen (%saturation),E. coli (cfu/100mL),Faecal Coliforms (cfu/100mL),Nitrite Nitrogen (mg/L),Nitrate Nitrogen (mg/L),Orthophosphate Phosphorus (mg/L),Phaeo-pigments (μg/L),Salinity (psu),Silica (mg/L),Secchi Disc Depth (M),Suspended Solids (mg/L),Temperature (°C),Total Inorganic Nitrogen (mg/L),Total Kjeldahl Nitrogen (mg/L),Total Nitrogen (mg/L),Total Phosphorus (mg/L),Turbidity (NTU),Unionised Ammonia (mg/L),Volatile Suspended Solids (mg/L),label
2,1,0.015,1.7,84.0,5300.0,5700,0.015,0.1,0.021,1.1,31.8,0.97,2.7,4.0,15.2,0.13,0.33,0.45,0.06,4.5,0.001,1.0,drinkable
0,1.4,0.25,1.3,,2200.0,2200,0.014,0.073,0.039,0.5,,0.88,,2.5,,0.34,0.56,0.65,0.07,4.8,,1.0,non consumable
1,1.3,0.16,1.9,,6700.0,7400,0.011,0.058,0.026,0.6,,0.63,,3.0,,0.23,0.41,0.48,0.06,5.5,,1.0,non consumable
2,1.5,0.2,1.6,,7600.0,8500,0.012,0.067,0.031,0.3,,0.77,,4.5,,0.28,0.48,0.56,0.06,5.5,,1.0,non consumable
0,0.7,0.15,0.4,72.0,2600.0,3000,0.007,0.03,0.028,0.6,32.9,0.67,,4.5,15.8,0.19,0.38,0.42,0.04,5.0,0.006,1.0,drinkable
1,0.6,0.15,0.6,73.0,1900.0,2600,0.007,0.032,0.029,0.4,33.0,0.68,,6.0,15.7,0.19,0.31,0.35,0.04,5.5,0.006,1.0,drinkable
2,0.7,0.14,0.6,72.0,1800.0,2400,0.007,0.03,0.027,0.2,33.0,0.67,,6.5,15.7,0.18,0.5,0.54,0.04,5.5,0.006,1.5,drinkable
0,0.7,0.18,0.2,71.0,11000.0,11000,0.007,0.024,0.035,0.6,33.2,0.72,2.0,5.0,16.7,0.21,0.7,0.73,0.11,8.0,0.008,1.5,drinkable
1,0.7,0.19,0.4,70.0,8900.0,9300,0.009,0.033,0.038,0.2,33.2,1.1,2.0,1.5,16.7,0.23,0.56,0.6,0.05,9.0,0.008,0.5,drinkable
2,0.6,0.18,0.8,71.0,6900.0,7600,0.008,0.025,0.036,0.2,33.3,0.67,2.0,3.0,16.7,0.21,0.47,0.5,0.06,9.0,0.008,0.5,drinkable
0,0.8,0.19,0.3,55.0,5900.0,6300,0.013,0.046,0.033,0.2,32.9,0.83,2.0,3.5,18.2,0.25,0.9,0.96,0.09,22.0,0.006,1.0,good for marine life
1,0.7,0.24,0.2,57.0,8000.0,8200,0.012,0.044,0.041,1.4,33.1,0.82,2.0,4.5,18.1,0.3,0.64,0.7,0.09,21.0,0.007,0.5,good for marine life
2,1.1,0.25,0.2,59.0,8300.0,8700,0.013,0.043,0.03,0.8,33.3,0.89,2.0,2.5,18.1,0.31,0.75,0.81,0.09,19.5,0.008,1.0,good for marine life
0,1,0.39,1.4,57.0,5900.0,6300,0.016,0.085,0.029,1.7,31.4,0.72,1.1,1.5,22.1,0.49,0.81,0.91,0.09,8.2,0.019,0.5,good for marine life
1,0.9,0.4,2.6,49.0,7500.0,8100,0.015,0.08,0.055,1.2,32.1,0.68,1.1,2.5,22.0,0.5,0.74,0.84,0.09,8.8,0.021,1.0,good for marine life
2,0.9,0.32,1.5,57.0,6000.0,6300,0.014,0.064,0.043,0.3,32.1,0.66,1.1,2.0,21.8,0.4,0.73,0.81,0.08,8.1,0.017,1.0,good for marine life
0,1.2,0.27,2.7,47.0,7500.0,8400,0.017,0.067,0.058,0.5,32.3,0.53,2.1,1.0,23.7,0.35,0.59,0.67,0.06,4.9,0.017,1.0,good for marine life
1,0.8,0.26,1.4,43.0,5100.0,6300,0.017,0.071,0.049,0.2,32.4,0.55,2.1,1.0,23.5,0.35,0.57,0.66,0.06,4.8,0.012,1.0,good for marine life
2,0.3,0.26,1.8,40.0,3600.0,4400,0.017,0.067,0.049,0.2,32.4,0.53,2.1,1.5,23.4,0.34,0.66,0.74,0.06,6.4,0.012,1.0,non consumable
0,0.5,0.21,0.5,61.0,2100.0,2100,0.011,0.037,0.04,0.8,32.5,0.82,1.7,6.5,22.5,0.26,0.52,0.57,0.06,9.0,0.011,1.5,good for marine life
1,0.6,0.21,0.2,67.0,1500.0,1500,0.011,0.039,0.047,1.1,32.7,0.87,1.7,5.5,22.5,0.26,0.49,0.54,0.06,8.9,0.011,1.5,good for marine life
2,0.4,0.21,0.5,71.0,160.0,170,0.012,0.061,0.035,0.7,32.7,0.95,1.7,8.0,22.4,0.28,0.58,0.65,0.06,10.2,0.011,1.5,drinkable
0,3.4,0.009,36.0,144.0,,nan,0.01,0.094,0.014,2.2,24.1,0.22,1.2,2.5,26.0,0.11,0.43,0.53,0.05,4.2,0.002,1.0,good for marine life
1,0.9,0.18,17.0,64.0,1300.0,1300,0.016,0.072,0.022,1.6,28.3,0.14,1.2,2.5,24.0,0.27,0.53,0.62,0.06,4.8,0.016,0.5,good for marine life
2,0.6,0.21,7.4,67.0,3800.0,3800,0.039,0.072,0.05,2.6,30.3,0.29,1.2,1.5,23.9,0.32,0.44,0.55,0.06,3.8,0.017,0.5,good for marine life
0,1.2,0.35,0.7,34.0,1200.0,1500,0.011,0.035,0.057,1.2,30.8,0.76,1.9,3.0,26.5,0.4,0.63,0.68,0.1,4.2,0.026,1.0,non consumable
1,1,0.34,0.5,36.0,3700.0,3900,0.01,0.035,0.039,1.3,31.0,0.65,1.9,4.0,26.5,0.39,0.68,0.73,0.07,6.2,0.026,1.5,non consumable
2,1,0.32,0.7,37.0,3600.0,3600,0.009,0.032,0.042,0.9,31.0,0.68,1.9,4.5,26.5,0.36,0.57,0.61,0.07,6.2,0.025,1.5,non consumable
0,2.4,0.013,20.0,112.0,300.0,400,0.012,0.038,0.005,8.6,27.6,0.05,1.0,4.0,27.5,0.06,0.34,0.39,0.04,5.1,0.003,1.5,good for marine life
1,0.8,0.077,1.0,43.0,2100.0,2400,0.019,0.083,0.022,2.8,33.6,0.9,1.0,5.0,22.6,0.18,0.25,0.35,0.05,4.2,0.008,2.0,good for marine life
2,0.7,0.095,1.5,42.0,3000.0,3400,0.019,0.076,0.02,2.6,33.7,0.88,1.0,9.0,22.4,0.19,0.28,0.38,0.05,4.2,0.009,3.5,non consumable
0,1,0.25,1.8,63.0,1600.0,1600,0.027,0.093,0.049,0.9,30.0,1.9,2.2,6.0,27.7,0.37,0.48,0.6,0.06,7.2,0.035,1.5,good for marine life
1,0.8,0.16,1.3,53.0,820.0,840,0.027,0.072,0.036,0.5,32.3,1.3,2.2,3.5,26.7,0.26,0.36,0.46,0.04,7.0,0.02,1.0,good for marine life
2,0.6,0.093,0.9,54.0,240.0,250,0.033,0.069,0.028,0.7,32.6,1.4,2.2,11.0,26.6,0.2,0.44,0.54,0.05,14.5,0.013,2.0,good for marine life
0,2,0.091,26.0,88.0,100.0,100,0.023,0.07,0.022,3.6,31.7,0.24,2.4,3.5,26.2,0.18,0.45,0.54,0.04,2.8,0.015,1.5,good for marine life
1,1.3,0.11,7.8,51.0,500.0,500,0.021,0.071,0.038,0.2,32.9,0.69,2.4,3.5,24.1,0.2,0.36,0.45,0.05,2.9,0.013,2.0,good for marine life
2,0.7,0.11,2.8,44.0,,nan,0.02,0.075,0.03,2.9,33.4,0.91,2.4,2.5,23.4,0.21,0.33,0.43,0.05,5.6,0.012,1.0,good for marine life
0,1.6,0.18,6.7,65.0,1900.0,1900,0.016,0.063,0.002,1.4,31.1,0.87,1.5,3.5,25.4,0.26,0.63,0.71,0.07,2.5,0.036,1.5,good for marine life
1,1,0.12,1.6,40.0,1000.0,1100,0.014,0.07,0.03,2.8,32.0,1.0,1.5,6.5,24.5,0.2,0.55,0.63,0.03,5.5,0.021,3.0,non consumable
2,1.2,0.11,6.5,34.0,110.0,110,0.013,0.055,0.013,1.5,32.3,0.64,1.5,4.0,24.1,0.18,0.47,0.54,0.07,2.7,0.023,0.5,non consumable
0,3.3,0.13,8.4,72.0,500.0,500,0.031,0.081,0.03,6.0,31.4,0.27,1.1,7.0,27.2,0.24,0.68,0.79,0.05,2.3,0.018,5.5,good for marine life
1,2.3,0.16,4.5,45.0,1200.0,1200,0.034,0.087,0.019,5.2,33.2,0.49,1.1,6.0,24.6,0.28,0.41,0.53,0.05,2.5,0.016,3.0,good for marine life
2,1.9,0.08,1.7,45.0,400.0,400,0.036,0.078,0.03,3.1,33.3,0.92,1.1,8.5,24.4,0.19,0.32,0.43,0.04,5.0,0.008,3.0,good for marine life
0,1.1,0.2,0.7,53.0,1600.0,1600,0.014,0.027,0.022,0.9,31.4,1.2,1.7,5.5,28.1,0.24,0.45,0.49,0.05,5.2,0.027,1.5,good for marine life
1,1.1,0.21,0.4,55.0,1600.0,1700,0.015,0.038,0.022,0.6,31.5,1.2,1.7,10.0,28.1,0.26,0.34,0.39,0.05,6.1,0.029,2.0,good for marine life
