"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Silica (mg/L)","Secchi Disc Depth (M)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Deep Bay","DM1","1992-11-11","1","Surface Water","1.2","3.16","<0.2","74","6.7","4000","4000","1.48","0.211","0.194","7.5","0.5","24.6","5.41","1.4","68","12.7","4.85","3.34","5.03","0.92","35","0.02","5.5"
"Deep Bay","DM1","1992-12-08","1","Surface Water","3.9","5.74","2.6","59","5.3","4000","6000","0.557","0.223","0.873","7.7","2","24.1","5.69","0.4","24","17.8","6.52","6.4","7.18","0.9","22","0.077","4.5"
"Deep Bay","DM1","1993-01-12","1","Surface Water","2.8","1.35","<0.2","87","7","1300","1400","3.75","0.002","0.439","7.5","1.9","26","4.41","1","94","20.3","5.1","3.66","7.41","0.79","37","0.013","9.5"
"Deep Bay","DM1","1993-02-25","1","Surface Water","1.3","0.043","0.4","71","6.7","2000","2300","3.56","1.31","0.673","7.5","<0.2","25.8","4.09","0.5","30","16.1","4.91","0.77","5.64","0.79","28","0.001","3.5"
"Deep Bay","DM1","1993-03-12","1","Surface Water","1.4","N/A","N/A","70","6","200","200","N/A","N/A","N/A","7.8","N/A","28.1","N/A","0.2","N/A","20.9","N/A","N/A","N/A","N/A","110","N/A","N/A"
"Deep Bay","DM1","1993-04-26","1","Surface Water","1.2","0.045","0.4","87","6.6","310","390","1.49","<0.002","0.101","7.9","1.1","16.8","4.59","0.4","36","23.7","1.54","0.28","1.77","0.17","38","0.002","5"
"Deep Bay","DM1","1993-05-10","1","Surface Water","1.5","<0.005","0.4","50","3.6","23000","24000","2.58","0.449","0.207","7.5","0.7","10.5","7.07","0.5","30","26.1","3.03","0.57","3.6","0.36","37","0.001","3.5"
"Deep Bay","DM1","1993-06-07","1","Surface Water","1.2","<0.005","0.9","39","2.8","3400","3600","3.13","0.004","0.369","7.7","2.2","9.2","7.39","0.2","22","29.2","3.14","0.48","3.61","0.45","24","0.001","3"
"Deep Bay","DM1","1993-07-21","1","Surface Water","1.9","0.025","1.4","42","2.8","490","490","1.52","0.195","0.243","6.7","6.1","10.1","0.2","0.5","5.5","29.3","1.74","0.42","2.14","0.25","32.2","0.001","1"
"Deep Bay","DM1","1993-08-31","1","Surface Water","3.7","0.658","9.7","113","7.6","1000","1100","1.33","0.67","0.217","8.4","8.1","15.6","0.11","0.5","18","29.5","2.66","0.82","2.82","0.23","10.1","0.097","1.5"
"Deep Bay","DM1","1993-09-29","1","Surface Water","1.3","0.581","2.3","19","1.5","10000","14000","2.88","1.56","0.114","7.3","3","3.3","8.74","0.4","41","27.3","5.02","0.98","5.42","0.22","20","0.008","6.9"
"Deep Bay","DM1","1993-10-15","1","Surface Water","4.2","2.52","63","89","6.5","100000","170000","0.213","0.129","0.233","8","18","16.9","3.2","0.5","29","26.6","2.86","4.9","5.24","0.38","40.7","0.154","5.9"
"Deep Bay","DM1","1993-11-15","1","Surface Water","1","3.1","8.7","60","4.5","11000","12000","0.445","0.139","0.3","7.3","4.4","18.4","6.21","0.5","20","23.9","3.68","4.68","5.26","0.4","6.4","0.03","2.9"
"Deep Bay","DM1","1993-12-13","1","Surface Water","2.4","5","2.7","46","3.7","54000","59000","0.159","0.073","0.498","7.5","1.8","22.9","6.4","0.4","26","19.9","5.23","7.04","7.27","1.09","14.4","0.057","3.5"
"Deep Bay","DM1","1994-01-26","1","Surface Water","3","4.79","1.1","45","3.9","4000","4200","0.235","0.122","0.503","7.7","3.1","23.4","5.4","0.5","29","15.6","5.15","6.57","6.93","0.77","16.3","0.052","3.7"
"Deep Bay","DM1","1994-02-23","1","Surface Water","1.9","2.97","0.3","75","6.1","5300","5600","0.464","0.13","0.378","7.7","3.2","25.7","3.64","0.3","40","18.2","3.56","4.14","4.73","0.53","14.4","0.046","4.8"
"Deep Bay","DM1","1994-03-16","1","Surface Water","0.8","3.24","0.5","70","5.9","1500","1600","0.739","0.236","0.391","7.5","0.9","26.3","4.16","0.5","64","16.2","4.22","3.75","4.73","0.58","19.2","0.026","9.6"
"Deep Bay","DM1","1994-04-14","1","Surface Water","1.1","2.32","2.7","71","5.5","440","540","0.452","0.163","0.434","7.7","2.9","21.8","1.43","0.5","18","21.9","2.94","3.11","3.73","0.39","8.5","0.041","4.1"
"Deep Bay","DM1","1994-05-12","1","Surface Water","2.1","1.41","0.9","52","3.6","110","120","0.659","0.159","0.391","7.7","9.8","20.4","4.23","0.3","43","28.8","2.23","2.16","2.98","0.49","14","0.042","7.2"
"Deep Bay","DM1","1994-06-15","1","Surface Water","1.5","0.674","2.8","66","4.9","760","780","1.08","0.292","0.166","7.8","3.3","7.9","7.78","0.2","85","28.8","2.05","1.6","2.97","0.48","70.7","0.031","17"
"Deep Bay","DM1","1994-07-13","1","Surface Water","1","1.93","0.2","72","5.2","3900","5500","0.541","0.52","0.288","7.4","6.9","6.4","9.91","0.5","40","29.9","2.99","3.25","4.31","0.45","43","0.036","4.7"
"Deep Bay","DM1","1994-08-11","1","Surface Water","1.6","1.93","4.9","N/A","N/A","12000","17000","0.417","0.124","0.093","7","3.6","0.9","9.08","0.2","71","28","2.47","2.75","3.29","0.28","37","0.013","8.6"
"Deep Bay","DM1","1994-09-22","1","Surface Water","1.4","2.7","3.8","95","7.4","1400","1400","0.295","0.178","0.27","7.8","3","6.8","6.58","0.4","33","28.7","3.17","2.83","3.3","0.32","22.8","0.11","7.3"
"Deep Bay","DM1","1994-10-07","1","Surface Water","1.1","1.86","11","49","3.5","700","800","0.259","0.11","0.201","7.6","5.1","19.3","3.49","0.4","33","27.4","2.23","2.56","2.93","0.25","32","0.047","4"
"Deep Bay","DM1","1994-11-21","1","Surface Water","0.9","7.58","1.3","35","2.6","3300","5000","0.23","0.19","0.611","7.7","2.3","20.1","4.87","0.6","29","23.5","8","8.75","9.17","0.65","22","0.151","3.9"
"Deep Bay","DM1","1994-12-19","1","Surface Water","0.8","3.77","0.2","58","5.3","1500","1700","0.393","0.17","0.426","7.6","1.1","22.1","5.28","1","11","18.8","4.33","4.16","4.72","0.5","12","0.045","1.6"
"Deep Bay","DM1","1995-01-19","1","Surface Water","1.3","5","0.7","41","3.5","12000","18000","0.28","0.13","0.53","7.6","0.5","24.7","4.8","0.4","38","17.9","5.41","6.2","6.61","0.62","13","0.057","8.2"
"Deep Bay","DM1","1995-02-17","1","Surface Water","1.5","2.8","1.1","68","6.1","2200","2900","0.13","0.084","0.44","7.9","5.7","25.1","1.3","0.5","57","16.3","3.01","6.1","6.31","0.57","31","0.056","8.8"
